NumValues     Secuencial     Paralelo
8 2.04e-07 0.000806187
16 1.7e-07 3.658e-06
32 2.15e-07 3.491e-06
64 3.5e-07 3.561e-06
128 6.07e-07 7.713e-06
256 1.108e-06 9.833e-06
512 2.184e-06 3.1936e-05
1024 4.157e-06 2.7162e-05
2048 8.25e-06 1.944e-05
4096 1.6221e-05 4.4061e-05
8192 3.2277e-05 5.5474e-05
16384 8.7438e-05 0.00010262
32768 0.000186511 0.000133266
65536 0.000438312 0.00024695
131072 0.000660242 0.00690831
262144 0.00151891 0.000571424
524288 0.00254988 0.00101787
1048576 0.00486688 0.00203609
2097152 0.0103813 0.00645045
4194304 0.0203185 0.0167463
8388608 0.0404012 0.0156943
16777216 0.0802109 0.0519913
33554432 0.157838 0.101369
67108864 0.321557 0.162259
134217728 0.633456 0.184432
268435456 1.28855 0.350346
536870912 2.58412 0.598841
1073741824 5.16297 1.39152
