NumValues     CUDA     OpenCL
4    0.00012827    0.000294951
8    0.000127505    0.000295755
16    0.000141945    0.000334099
32    0.000147988    0.000347267
64    0.000170532    0.000497787
128    0.000148042    0.000318526
256    0.000159352    0.000355735
512    0.000159118    0.000333397
1024    0.000162888    0.000341797
2048    0.000186474    0.000399863
4096    0.00024768    0.000414498
8192    0.00048518    0.000533976
16384    0.000626081    0.000789014
32768    0.00113911    0.00159588
65536    0.00229262    0.00275283
131072    0.0047107    0.00531388
262144    0.0101233    0.0106249
524288    0.0222507    0.0223446
1048576    0.0451395    0.0448928
2097152    0.0881446    0.0924758
4194304    0.162395    0.173983
8388608    0.354227    0.346837
16777216    0.736328    0.72645
33554432    1.47766    1.50158
67108864    3.06077    3.05794
134217728    5.93443    6.19798
268435456    12.3981    12.3391
