NumValues     CUDA     OpenCL
4    9.9792e-05    0.000301137
8    0.000103076    0.000308883
16    0.000108857    0.000305926
32    0.000120251    0.00034171
64    0.00014638    0.000351607
128    0.000136242    0.00034102
256    0.000479902    0.000656045
512    0.00024341    0.000595089
1024    0.000278262    0.000577992
2048    0.000215169    0.000412314
4096    0.000336274    0.000554701
8192    0.000550501    0.000742836
16384    0.00104791    0.00123646
32768    0.00208292    0.00240057
65536    0.00425395    0.00449339
131072    0.00886998    0.00922672
262144    0.0184853    0.0187044
524288    0.0385459    0.0389994
1048576    0.0784243    0.0687571
2097152    0.143544    0.156129
4194304    0.324479    0.308051
8388608    0.623573    0.621561
16777216    1.2955    1.30397
33554432    2.84095    2.90844
67108864    5.77646    5.62203
134217728    11.5594    11.7252
268435456    25.1157    25.3184
536870912    51.4932    51.5221
